X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,t,TE,y,e,wt,v
a,a,c,c,b,0.67,-0.3,-0.6,-0.74,-1.4,-2.84,0.06,-1.01,-0.2,1.13,0.19,-0.89,0.74,0.29,0.42,1,9.57,15.02,0.22,4.55,68.34
d,e,c,a,a,-0.62,1.11,0.59,-0.44,-0.13,-0.51,-1.01,0.07,-1.18,-1.1,1.65,-0.23,-1.05,0.23,-0.2,0,6.81,6.98,0.36,1.56,10.89
b,b,d,a,a,1.67,-0.82,1.47,0.94,0.36,0.36,0.09,-0.38,-1.14,1.48,-2.7,-1.43,1.04,-0.33,-0.4,1,13.81,19.35,0.85,1.18,22.83
e,c,e,d,d,-0.51,2.08,-0.86,0.33,-0.6,1.27,-0.65,-0.5,0.86,-0.66,0.26,-0.02,-0.26,-1.29,0.34,1,11.89,18.95,0.74,1.35,25.58
a,d,e,d,e,-0.06,2.02,-1.32,-1.52,-1.22,-0.41,-1.16,-1.37,-0.1,1.25,-0.93,-0.59,0.35,-1.06,0.52,0,7.4,4.33,0.32,1.47,6.37
e,e,b,a,e,0.32,0.27,0.76,-2.02,-0.1,-0.15,1.28,-0.16,0.41,0.75,1.22,-1.32,-0.36,-0.17,-1.13,1,7.39,12.420000000000002,0.67,1.49,18.51
c,a,c,e,b,0.07,-0.13,-0.52,-1.76,-1.29,-0.07,0.84,3.32,-0.33,0.92,0.24,-1.76,1.75,1.12,-0.21,1,10.73,19.02,0.86,1.16,22.06
b,a,c,e,e,0.37,-0.06,0.99,-0.28,-0.87,-0.57,-1.62,0.65,-0.06,1.06,-1.72,0.31,-0.49,-0.41,0.02,1,5.46,12.02,0.81,1.23,14.78
a,e,b,e,b,0.17,2.13,0.15,0.98,-0.35,-2.11,-0.25,1.01,0.53,-0.97,2.87,-0.46,-0.18,-1.1,-0.32,1,12.24,21.990000000000002,0.82,1.22,26.83
a,c,d,b,c,0.93,0.24,-0.79,-2.4,0.16,-0.56,0.59,-0.61,-0.6,-0.23,-0.65,-1.02,0.69,-0.92,-0.07,1,8.58,12.64,0.25,4.0,50.56
e,e,c,c,a,0.19,0.27,0.48,-0.19,-1.31,0.63,0.87,-0.73,2.26,-0.38,-1.1,-0.06,-1.75,0.0,-0.55,1,11.06,17.09,0.59,1.69,28.88
b,c,c,a,b,-0.67,-1.34,1.85,-1.74,0.12,-0.55,0.8,-1.46,-0.98,1.08,0.8,-2.44,-0.16,-0.27,-1.14,0,7.49,1.6600000000000006,0.1,1.11,1.84
c,e,a,b,c,-0.63,-0.19,-0.9,0.24,-0.15,-0.08,-0.33,1.12,-1.17,-1.37,0.1,-1.2,0.62,1.11,0.12,0,8.41,5.37,0.38,1.61,8.65
b,e,c,a,a,-0.65,-1.34,-1.68,-1.34,-1.83,-0.45,0.85,1.33,1.3,1.3,-0.07,0.36,0.74,0.5,0.07,1,12.4,18.95,0.48,2.08,39.42
b,a,b,d,b,0.97,-0.37,0.18,1.16,0.91,-2.41,-0.21,2.19,-1.31,-0.37,1.11,-0.11,-2.41,-1.11,-0.63,0,8.31,7.970000000000001,0.2,1.25,9.96
b,e,e,d,a,-0.87,1.19,-0.06,1.5,-0.74,1.95,1.76,-0.61,-1.56,1.58,-0.85,-0.47,0.61,1.91,-0.3,1,15.95,22.150000000000002,0.86,1.16,25.69
d,a,d,b,c,-0.75,2.16,-0.14,-0.54,0.3,-0.03,-0.81,0.23,0.96,-0.82,0.79,0.15,0.46,-0.24,-0.03,1,11.51,21.040000000000003,0.84,1.19,25.04
e,a,a,d,b,-1.39,2.31,0.93,-1.08,-1.15,-0.55,-0.66,-1.08,1.25,0.31,-2.11,-0.1,-1.03,0.44,0.05,0,11.03,4.37,0.49,1.96,8.57
b,a,a,e,c,1.36,-0.52,0.38,-0.47,0.01,-0.77,-2.55,-0.62,0.47,-0.32,-0.95,0.98,-0.7,0.04,-0.58,0,7.44,7.03,0.61,2.56,18.0
d,e,c,a,d,-0.2,-2.01,-0.59,-1.99,-0.95,-0.7,0.8,1.08,-0.27,-0.33,0.23,0.89,-0.36,0.25,0.24,1,6.73,13.760000000000002,0.58,1.72,23.67
d,b,c,e,d,1.27,-1.66,0.56,1.84,0.65,0.75,-0.13,0.7,-0.08,0.24,-0.16,0.42,1.38,0.74,-0.27,0,14.48,10.04,0.94,16.67,167.37
a,a,e,c,e,0.22,-1.1,0.79,0.8,-1.44,-2.36,0.56,0.02,-0.19,-0.26,-0.48,-0.11,0.93,-0.91,-1.43,0,5.67,5.36,0.25,1.33,7.13
c,a,d,a,a,1.57,0.73,0.46,-0.18,0.16,0.5,-0.05,0.62,-1.07,0.28,0.26,-0.45,-0.42,-0.15,1.21,0,7.41,9.870000000000001,0.63,2.7,26.65
e,c,b,a,e,0.19,1.02,1.49,-0.23,0.3,-1.39,0.9,0.02,-0.36,-1.41,-0.36,1.46,1.5,-0.35,1.51,1,11.95,23.32,0.73,1.37,31.95
d,a,b,c,e,1.67,1.08,-0.3,1.2,-0.39,-1.4,-1.82,-1.08,-0.5,1.02,-0.11,-0.43,2.14,-0.68,0.49,0,12.77,9.68,0.65,2.86,27.68
e,d,d,d,d,0.17,1.4,0.56,0.75,-0.61,-0.66,-0.82,-0.61,-0.75,-1.44,-0.37,-0.14,1.14,0.07,1.92,1,11.09,18.22,0.85,1.18,21.5
c,d,d,e,d,-0.41,1.54,0.12,0.63,-0.42,0.21,2.67,1.04,0.96,-0.57,-1.26,-2.14,-1.42,-0.6,0.57,0,8.84,6.19,0.61,2.56,15.85
c,e,e,a,d,-1.47,0.57,1.72,2.01,1.42,-0.07,-0.93,0.56,0.53,0.2,-0.83,0.83,0.91,-0.07,0.18,0,16.63,10.010000000000002,0.92,12.5,125.13
d,a,d,b,a,1.17,-0.15,-0.18,-0.31,0.82,-0.03,-1.63,-1.4,1.25,-0.4,-0.88,0.05,0.48,1.21,-0.55,1,10.52,17.650000000000002,0.82,1.22,21.53
c,c,c,a,c,-0.37,1.85,-0.97,0.96,0.17,2.1,0.72,-0.73,1.96,-0.87,-1.6,-0.08,-1.7,0.03,1.74,1,18.26,26.360000000000003,0.94,1.06,27.94
b,e,a,e,e,0.64,-0.41,-1.29,-0.03,-0.46,1.46,1.62,1.5,-2.06,-2.48,-0.51,1.7,0.09,0.77,-0.61,1,10.15,19.37,0.73,1.37,26.54
b,d,b,e,b,1.13,-1.32,0.51,0.3,-0.23,1.12,0.74,0.06,-0.13,-0.52,-1.96,0.14,0.36,0.76,0.54,1,7.59,16.14,0.6,1.67,26.95
c,b,a,a,c,-1.36,-0.26,-0.96,1.33,-0.48,-0.09,-0.11,0.62,0.75,-1.32,0.05,1.22,-0.06,-1.81,0.45,1,12.03,19.45,0.45,2.22,43.18
e,b,a,a,d,0.89,0.6,1.38,-0.68,0.58,-0.14,-0.6,-1.26,-0.2,-0.53,-0.52,-0.45,-1.81,0.73,-0.99,1,8.14,13.129999999999999,0.41,2.44,32.04
b,a,e,d,c,-0.32,0.64,0.28,-0.3,-0.34,-0.1,2.74,-1.08,0.36,0.19,-2.37,-0.88,0.09,-0.08,0.74,1,5.41,10.23,0.73,1.37,14.02
d,e,e,d,a,-0.33,-0.73,-1.19,0.09,0.8,0.03,-0.97,-0.56,0.73,0.21,1.46,-0.43,0.53,2.6,-0.76,1,9.48,18.11,0.78,1.28,23.18
a,a,e,b,e,-2.79,0.11,-1.03,-1.45,0.81,1.69,-0.06,0.68,0.83,-0.36,0.45,-0.65,0.77,1.24,0.16,1,12.42,18.900000000000002,0.48,2.08,39.31
b,c,c,e,d,0.6,-1.12,0.59,0.82,1.17,-0.65,-0.68,-0.15,-0.2,1.44,0.24,0.4,0.2,1.39,0.25,1,12.19,22.57,0.74,1.35,30.47
e,e,a,d,c,1.44,0.18,-1.23,-0.3,0.8,-0.05,-0.74,-0.37,-0.26,-0.69,-1.61,-1.04,0.88,-0.24,0.4,1,10.63,15.86,0.79,1.27,20.14
e,d,e,c,d,0.94,0.09,0.28,0.43,0.65,0.9,2.01,0.55,-0.87,0.94,0.02,0.12,-0.67,-1.29,0.14,1,9.8,18.21,0.86,1.16,21.12
a,c,b,d,c,-0.51,0.31,0.11,0.04,-0.04,0.38,1.69,-0.33,0.9,0.91,-0.6,-0.86,1.43,0.18,0.57,1,11.77,18.62,0.78,1.28,23.83
a,b,e,b,d,-0.42,-0.78,1.25,0.84,0.51,-0.27,0.49,-0.45,-0.4,0.43,-1.48,1.61,-1.26,0.98,1.59,1,12.83,20.81,0.75,1.33,27.68
d,b,c,a,c,-0.51,-0.71,0.48,0.05,1.31,-1.08,-0.56,-1.36,0.83,-0.04,-1.68,-0.02,-0.77,1.06,-1.36,1,9.86,14.030000000000001,0.39,2.56,35.92
e,a,c,e,d,0.45,-0.78,0.0,1.33,-0.53,0.79,0.42,0.47,1.42,0.46,-1.32,1.59,0.83,0.49,-0.49,0,15.75,9.370000000000001,0.81,5.26,49.29
e,d,a,e,c,0.53,-0.17,0.69,-0.77,0.88,0.25,-0.89,-0.48,0.14,-0.37,0.48,0.4,0.98,0.61,1.29,0,12.75,8.99,0.71,3.45,31.02
c,e,b,c,b,-0.44,-0.46,1.93,-0.33,-0.24,0.38,1.23,0.53,0.29,0.84,1.45,-0.35,1.21,0.81,-0.9,1,11.67,20.91,0.91,1.1,23.0
b,b,a,e,e,-0.48,-0.24,1.94,1.57,-1.33,-0.07,-1.29,0.91,1.58,-0.48,-0.52,0.81,0.13,0.39,0.71,1,14.45,24.34,0.94,1.06,25.8
c,c,d,b,e,1.27,0.47,-1.23,0.09,-0.9,0.45,1.11,-2.63,2.04,-0.74,-1.26,0.1,-0.3,0.89,0.38,1,11.2,17.01,0.71,1.41,23.98
a,a,d,c,e,-0.68,-0.27,2.84,-0.1,-2.28,-0.83,-0.62,-0.95,0.06,1.61,-0.97,1.28,-2.68,1.15,1.86,1,10.87,14.940000000000001,0.43,2.33,34.81
b,d,b,b,c,0.14,-0.98,-1.38,1.06,0.93,0.59,0.58,1.55,0.44,0.27,-1.44,-2.11,-1.06,-0.94,-0.47,1,10.33,16.23,0.77,1.3,21.1
e,a,d,a,e,-0.09,-1.06,-0.4,-1.29,0.34,1.83,0.53,-1.08,0.14,0.02,-0.08,-1.19,1.43,0.19,0.27,1,10.26,14.71,0.6,1.67,24.57
c,d,b,b,e,2.32,-1.02,-1.47,0.48,-0.83,0.84,1.14,-0.21,-0.83,-0.62,0.73,-0.94,-1.01,0.19,-0.06,0,5.36,5.5600000000000005,0.38,1.61,8.95
e,a,c,b,d,0.15,0.14,1.14,2.77,-1.63,0.52,1.17,0.5,0.35,0.65,0.28,1.31,-0.82,-0.35,-1.01,1,14.49,22.78,0.88,1.14,25.97
a,b,a,c,c,0.66,0.16,-1.15,-1.05,0.56,-2.41,-2.2,0.39,1.0,-0.87,-0.23,0.43,-0.73,-0.27,-1.01,1,10.98,17.13,0.36,2.78,47.62
e,d,c,c,c,0.53,0.02,0.13,1.15,1.54,1.73,0.6,1.13,1.62,0.54,-0.77,-0.03,-0.6,-0.39,-1.92,1,17.18,24.75,0.86,1.16,28.71
a,c,a,e,b,0.05,0.1,-1.09,-1.4,-1.01,0.04,-0.27,1.15,-0.09,-0.23,0.57,-0.09,1.04,1.85,-0.3,1,10.41,18.13,0.58,1.72,31.18
a,c,d,a,e,0.15,-1.48,0.62,1.09,-1.55,-0.7,0.33,-1.02,-0.69,0.87,-0.05,-0.2,1.18,2.23,-0.68,1,11.2,15.89,0.69,1.45,23.04
d,d,d,a,d,1.09,0.42,0.54,-0.91,-0.36,-0.03,1.21,-0.09,0.28,0.96,0.78,1.95,-2.19,1.83,-0.05,1,10.35,20.78,0.94,1.06,22.03
b,c,a,b,e,0.09,-1.14,-0.34,-1.26,-1.34,0.46,-0.61,0.37,-1.16,-0.16,-1.28,1.24,-0.06,1.17,0.55,1,9.72,16.650000000000002,0.67,1.49,24.81
c,d,e,e,c,1.33,0.1,-0.36,-1.15,-1.61,1.77,0.23,-0.28,-0.04,1.14,2.17,-0.34,-0.78,0.2,0.78,0,12.01,8.23,0.84,6.25,51.44
b,c,a,d,d,0.42,1.08,-1.18,-1.32,0.51,-0.4,-0.39,-0.41,0.23,-1.09,0.28,-1.29,0.38,-0.38,-0.09,1,8.49,15.75,0.4,2.5,39.38
c,a,a,a,a,2.02,0.31,0.41,-1.24,1.44,1.06,-0.61,-1.18,-0.61,1.08,-1.85,-1.54,1.85,0.47,0.8,0,16.94,7.470000000000001,0.72,3.57,26.67
c,e,a,e,b,-1.61,-0.86,0.38,-0.01,-0.16,-0.32,0.23,1.38,-1.44,-0.16,1.42,1.59,-0.18,-0.9,0.83,0,9.83,9.010000000000002,0.63,2.7,24.33
c,b,c,e,b,1.36,0.99,0.33,1.4,1.41,0.27,-1.64,-0.41,0.45,0.19,-0.93,-0.34,0.7,-0.86,0.43,1,14.64,25.53,0.94,1.06,27.06
d,b,b,c,e,-0.65,-0.07,-0.11,-0.17,-0.14,0.96,-0.34,-0.34,0.48,0.39,1.11,1.39,-0.55,2.75,0.86,0,11.81,8.91,0.63,2.7,24.06
b,a,c,b,c,0.53,0.8,0.6,-1.13,0.17,1.19,-1.87,-0.17,0.51,0.92,0.65,0.35,-0.04,-0.18,-1.06,1,11.43,19.8,0.82,1.22,24.16
a,a,d,e,b,0.8,-0.59,-1.2,1.02,0.74,-1.31,-0.11,-0.74,0.37,-0.72,-1.5,0.34,0.3,-1.22,0.63,1,11.03,16.64,0.61,1.64,27.29
a,e,a,d,c,-1.18,-0.7,-0.35,1.06,-1.01,0.28,-1.24,-2.76,-2.17,-0.44,0.75,-0.06,-0.57,1.25,0.07,0,8.18,2.0400000000000005,0.11,1.12,2.28
e,d,c,e,c,-0.27,0.61,0.18,-0.11,2.08,0.48,1.6,0.44,1.43,-0.19,-0.17,0.8,-0.32,0.16,-0.24,1,14.24,24.43,0.95,1.05,25.65
e,a,a,e,c,-0.43,-0.19,0.68,1.34,1.64,-1.12,-0.12,-0.31,-0.61,-0.62,-1.05,0.63,-0.79,0.62,-0.16,1,12.77,19.2,0.52,1.92,36.86
c,e,c,d,a,-0.09,0.2,1.11,-0.65,0.44,2.06,1.1,0.85,2.31,0.23,-0.61,0.7,0.0,0.48,-0.92,0,14.12,10.010000000000002,0.85,6.67,66.77
a,e,d,e,d,-0.04,0.03,-1.5,0.28,-1.64,0.41,-0.49,-1.22,-0.73,0.41,0.18,-1.09,-0.29,-0.53,-0.06,1,7.88,10.47,0.66,1.52,15.91
d,e,a,d,b,0.33,-0.89,-2.11,0.62,-1.53,0.9,-2.0,0.54,-0.15,0.31,1.2,-0.82,-0.3,-1.57,0.84,1,11.08,17.29,0.39,2.56,44.26
e,e,d,c,c,0.42,-0.31,1.59,0.3,0.9,-0.83,-0.34,-1.47,-0.57,-0.71,-1.01,-0.62,0.91,-1.23,0.52,1,10.69,15.57,0.45,2.22,34.57
c,c,c,a,c,0.45,0.33,1.14,-2.29,-1.45,-1.17,0.48,0.44,-0.18,0.26,0.39,-1.5,-1.71,-1.85,-0.3,0,6.03,4.08,0.27,1.37,5.59
b,c,d,a,a,1.97,1.57,-2.61,0.08,0.74,-0.68,-0.3,1.01,-0.01,-1.15,-1.17,-1.32,0.49,0.57,0.14,0,10.12,8.790000000000001,0.74,3.85,33.84
b,b,d,d,d,-0.83,-0.41,-0.43,0.38,0.09,0.51,-2.05,0.86,-1.36,1.32,2.05,-1.94,1.04,-0.72,0.53,0,13.18,6.67,0.5,2.0,13.34
b,d,d,d,b,0.13,-1.26,0.11,-0.31,-1.2,-0.92,1.57,-0.01,0.99,0.67,-0.6,0.98,-0.04,1.06,0.2,1,7.72,14.100000000000001,0.78,1.28,18.05
d,a,e,a,c,-1.8,-1.53,-0.42,-0.24,0.04,-0.01,1.12,1.36,-0.84,-0.42,0.08,0.02,-0.23,1.17,-0.21,0,5.1,5.86,0.69,3.23,18.93
e,e,c,a,d,0.28,-1.13,-0.23,1.0,0.41,2.6,0.45,0.5,-0.35,-0.84,-0.86,-0.23,0.22,-0.68,-0.81,1,11.77,18.31,0.83,1.2,21.97
c,e,a,e,c,-1.03,-0.34,1.14,1.74,1.12,-0.86,-0.91,0.33,1.29,0.03,-1.14,0.27,0.18,0.69,-0.6,1,14.96,23.19,0.73,1.37,31.77
d,e,c,e,b,0.89,0.82,-1.17,0.71,-0.45,-1.62,-0.54,-1.85,0.37,-0.39,0.59,-0.28,2.74,2.24,-0.9,1,13.56,23.470000000000002,0.85,1.18,27.69
d,e,d,a,d,-0.66,0.78,-0.59,0.4,-0.33,2.04,0.97,0.44,-0.22,-0.31,0.28,0.26,1.07,-1.22,0.35,1,13.42,21.87,0.74,1.35,29.52
a,e,d,a,d,-0.78,-1.6,0.48,1.54,-0.92,0.41,0.84,0.53,-0.22,0.23,0.56,1.02,0.1,-2.01,-2.25,0,11.02,4.5200000000000005,0.77,4.35,19.66
b,e,e,c,c,-0.59,1.45,0.67,-0.32,1.03,-0.37,-1.87,-1.49,-0.58,1.0,-1.06,-2.49,-0.38,-0.35,-0.04,0,12.04,4.5200000000000005,0.37,1.59,7.19
e,c,b,c,d,-0.25,-0.19,-0.88,0.16,1.07,-1.19,-1.66,-0.59,-2.51,-0.2,0.54,0.37,0.31,0.47,0.84,1,9.36,14.79,0.37,2.7,39.93
b,d,d,a,e,-1.06,0.66,-1.04,2.32,0.34,0.89,1.7,-0.19,0.96,0.24,1.44,1.27,0.29,-0.42,1.07,1,15.81,26.57,0.88,1.14,30.29
d,d,d,d,a,-0.73,-0.62,0.06,-0.46,0.57,1.79,-0.02,1.21,0.55,0.81,-0.08,-0.11,-0.87,0.26,-2.12,1,10.24,16.62,0.65,1.54,25.59
c,d,b,d,c,1.47,-0.14,1.99,-0.42,0.53,0.1,0.26,0.81,-0.76,2.03,1.14,-0.12,0.98,-0.88,1.38,1,11.92,22.53,0.79,1.27,28.61
d,c,c,a,e,1.3,-1.72,-0.06,-0.91,-1.51,-0.69,-0.71,-1.28,-0.36,-0.87,0.43,0.17,-1.19,0.2,0.88,0,6.29,5.95,0.23,1.3,7.74
a,b,d,a,a,1.33,-0.3,-2.3,-0.29,0.32,1.13,-0.89,-0.02,-1.59,0.72,-0.22,1.82,0.89,0.07,0.16,1,13.35,22.01,0.87,1.15,25.31
a,b,c,e,e,-0.11,-1.35,0.64,-1.56,1.39,-0.62,0.77,-0.94,3.24,2.29,1.17,-1.41,0.38,0.7,-1.42,1,18.97,24.720000000000002,0.83,1.2,29.66
c,a,b,a,a,-0.03,-0.88,0.28,-1.87,-0.17,0.25,0.68,-0.38,0.47,1.74,0.4,1.91,-1.95,2.99,0.17,1,11.88,19.17,0.61,1.64,31.44
c,e,d,a,c,-0.97,-0.05,1.4,1.39,1.54,-1.09,0.46,0.01,-0.13,0.46,-0.29,-0.52,-0.73,-0.47,-0.97,0,11.61,5.33,0.8,5.0,26.65
b,d,d,b,e,2.06,-0.61,2.78,1.21,-0.55,-1.1,-2.14,-2.55,1.25,0.04,0.43,-0.13,0.14,1.35,0.4,1,10.85,19.29,0.69,1.45,27.97
e,e,a,b,a,0.05,-1.3,0.36,0.8,-0.82,0.5,-0.72,0.36,2.16,-0.71,-0.06,0.13,-0.1,0.39,1.27,1,15.55,23.85,0.93,1.08,25.76
b,c,c,e,c,0.82,0.29,-1.37,-1.19,-0.01,-0.89,0.78,-0.34,-0.29,-1.01,-1.13,0.1,0.5,-0.31,0.5,0,6.96,7.140000000000001,0.29,1.41,10.07
e,a,c,e,e,0.55,-1.69,-1.15,0.39,1.25,-1.28,0.97,-1.17,-4.19,0.44,-0.65,-0.06,0.83,-0.04,-0.29,0,8.82,3.2600000000000007,0.13,1.15,3.75
b,b,b,b,e,0.21,0.75,-0.37,-0.8,-1.0,1.73,-0.94,0.03,-1.18,0.17,-0.2,0.65,0.12,-1.07,-1.15,0,9.47,7.86,0.4,1.67,13.13
d,e,b,b,b,-0.89,0.64,-0.31,1.06,-0.69,-1.05,0.13,0.36,0.02,-1.49,-0.54,-1.72,-0.09,1.19,-1.41,1,8.69,14.75,0.62,1.61,23.75
c,e,d,c,d,-1.33,-0.44,-0.95,0.88,-2.68,1.33,-0.46,0.45,-2.2,-0.53,-0.09,-0.43,-1.51,-1.33,-0.43,1,7.53,9.56,0.41,2.44,23.33
d,c,d,a,c,0.02,-0.62,-0.05,-1.42,-2.07,2.22,-0.8,1.62,-1.22,-0.76,-0.89,-1.26,1.6,0.05,-2.01,0,13.12,5.7700000000000005,0.58,2.38,13.73
a,b,a,a,d,1.6,-0.7,-1.16,0.92,-0.27,0.34,-1.84,0.35,0.23,-0.94,-0.53,0.62,-0.64,-1.97,-1.83,0,10.15,4.95,0.56,2.27,11.24
e,a,a,a,a,-0.9,-0.34,-0.2,0.41,-0.3,-0.3,-0.14,0.33,1.45,1.01,0.42,0.15,-0.02,1.33,-0.79,1,10.7,17.86,0.87,1.15,20.54
b,a,b,d,d,1.95,0.41,-2.18,-0.13,0.6,1.52,-0.89,0.52,0.97,-1.07,1.13,-1.56,1.99,0.18,0.75,0,13.57,10.45,0.74,3.85,40.23
e,a,b,a,d,-1.7,-0.14,1.63,0.66,0.27,-1.02,0.64,0.58,-0.24,0.39,-0.77,0.91,0.35,0.9,-0.76,1,9.5,15.879999999999999,0.85,1.18,18.74
c,b,b,a,a,1.39,0.56,1.59,-1.0,-0.53,0.47,-1.13,0.71,-1.41,-1.23,1.07,-0.71,-0.73,1.96,0.25,0,7.2,9.25,0.7,3.33,30.8
b,b,d,d,d,1.34,0.52,1.72,-1.73,-0.4,0.6,-0.91,0.1,-0.99,-0.94,0.99,-0.29,-1.01,-1.0,0.7,0,8.28,7.99,0.47,1.89,15.1
e,c,d,a,c,0.66,0.09,1.59,0.45,-2.04,0.68,-0.31,1.39,1.16,-0.3,0.24,1.05,-0.27,1.43,-1.06,1,11.64,21.990000000000002,0.92,1.09,23.97
c,a,c,c,b,-0.03,0.16,-0.33,0.82,-0.45,0.28,-0.85,1.23,-0.27,0.11,-0.45,0.89,-0.69,0.65,-0.56,1,6.55,14.3,0.66,1.52,21.74
a,b,e,d,b,1.14,0.79,-1.13,-0.26,0.12,1.45,0.76,0.14,0.44,-1.6,0.35,0.08,-0.09,-0.31,-2.36,1,9.91,17.67,0.61,1.64,28.98
e,a,a,a,c,1.94,1.16,0.37,0.39,-0.18,0.39,-0.57,0.4,1.02,-1.12,-0.3,-1.23,0.09,-0.69,-0.6,1,10.31,17.2,0.82,1.22,20.98
a,e,b,e,a,0.65,-0.01,-0.31,0.48,-0.23,0.15,0.2,-1.5,1.06,0.17,2.33,0.96,-0.63,-1.86,0.45,1,10.9,20.080000000000002,0.87,1.15,23.09
c,d,c,b,d,1.01,-1.54,0.5,0.38,1.44,0.22,-1.82,0.74,0.94,0.51,-1.44,-0.05,0.77,-0.98,1.07,1,13.81,22.48,0.85,1.18,26.53
b,b,c,a,e,-0.06,-0.16,-0.64,-1.98,0.03,-1.26,0.08,-0.15,0.01,-0.19,-0.59,0.25,1.02,-1.71,0.25,1,6.1,11.88,0.52,1.92,22.81
e,c,c,e,a,-0.93,1.06,-1.13,1.17,1.63,-0.56,0.62,0.12,0.52,0.73,0.7,0.45,-1.09,0.85,1.71,1,17.67,26.51,0.77,1.3,34.46
a,d,e,e,d,0.02,-0.48,-3.3,1.37,-1.75,1.88,1.43,-0.68,-1.38,-0.91,-0.44,-0.12,0.28,-1.8,-0.16,0,9.03,4.430000000000001,0.62,2.63,11.65
b,a,d,b,c,0.8,0.09,0.57,1.2,0.61,-0.69,-2.04,0.2,-0.51,0.35,-0.61,-1.29,-0.28,1.33,-0.14,0,9.03,6.7700000000000005,0.65,2.86,19.36
d,d,b,a,e,-0.65,0.2,-0.72,0.46,0.33,1.8,0.5,0.92,-1.05,0.39,-1.17,-1.46,0.17,-0.25,0.21,0,7.85,6.92,0.59,2.44,16.88
a,b,b,d,e,-1.49,-1.47,-0.88,-0.17,-0.22,-1.04,1.02,0.27,-1.83,0.89,-1.29,0.88,0.28,-0.34,-0.57,1,6.35,10.86,0.49,2.04,22.15
e,c,c,c,c,0.73,-0.76,1.01,-0.87,-0.05,1.39,-0.11,-0.44,0.6,-0.44,-0.37,-0.93,1.21,2.57,0.02,0,11.06,7.040000000000001,0.8,5.0,35.2
d,e,b,d,b,-0.54,-1.12,0.8,-0.62,-0.75,-0.61,-0.06,0.17,0.22,0.15,2.22,-0.38,-0.11,-1.05,0.4,1,6.92,14.27,0.64,1.56,22.26
b,e,b,d,a,0.84,0.46,0.15,0.47,0.37,0.1,-0.89,1.1,-2.99,-3.0,-1.03,0.46,-1.94,0.28,-0.47,1,7.07,14.690000000000001,0.63,1.59,23.36
e,a,e,b,c,0.3,1.51,1.32,-0.99,0.8,-0.4,0.28,0.54,2.09,-0.07,0.37,-0.39,0.93,-2.2,-0.32,1,15.35,24.53,0.82,1.22,29.93
