age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign_above_2,pdays,previous,poutcome,subscribed_deposit,e,wt,v,TE
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,0,-1,0,unknown,1,0.20768111410070303,1.2621180913351333,1.2621180913351333,0
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,0,-1,0,unknown,1,0.2828335444516988,1.3943764272067936,1.3943764272067936,0
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,0,-1,0,unknown,1,0.3090571881514598,1.4472977833355152,1.4472977833355152,0
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,1,-1,0,unknown,1,0.2462641172117366,4.060680911706699,4.060680911706699,0
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,0,-1,0,unknown,1,0.2650196588170059,1.3605806087145695,1.3605806087145695,0
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,0,-1,0,unknown,1,0.2698393127203306,1.3695615464120101,1.3695615464120101,0
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,0,-1,0,unknown,1,0.26726105388302235,1.3647425256966697,1.3647425256966697,0
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,0,-1,0,unknown,1,0.27137143734311364,1.3724413936691957,1.3724413936691957,0
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,0,-1,0,unknown,1,0.25542894034342123,1.3430551550865188,1.3430551550865188,0
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,0,-1,0,unknown,1,0.30282766906966657,1.4343655874374155,1.4343655874374155,0
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,0,-1,0,unknown,1,0.286237832358651,1.4010269041080357,1.4010269041080357,0
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,0,-1,0,unknown,1,0.23362505106042636,1.304844321155971,1.304844321155971,0
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,1,-1,0,unknown,1,0.22609031329381854,4.423011253473904,4.423011253473904,0
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,1,-1,0,unknown,1,0.28598796229123224,3.496650670148356,3.496650670148356,0
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,1,-1,0,unknown,1,0.2169059978164703,4.610292062306758,4.610292062306758,0
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,0,-1,0,unknown,1,0.28730628002376574,1.403127278900881,1.403127278900881,0
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,0,-1,0,unknown,1,0.23572974392575596,1.3084376790176384,1.3084376790176384,0
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,0,-1,0,unknown,1,0.3352672676720915,1.5043640118307071,1.5043640118307071,0
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,0,-1,0,unknown,1,0.32129606441958675,1.4733964952550647,1.4733964952550647,0
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,0,-1,0,unknown,1,0.23848587112094802,1.3131732716134878,1.3131732716134878,0
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,0,-1,0,unknown,1,0.27506028400518545,1.3794250445055667,1.3794250445055667,0
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,0,-1,0,unknown,1,0.28955665242361506,1.407571769672293,1.407571769672293,0
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,0,-1,0,unknown,1,0.25674375172891173,1.3454310035416877,1.3454310035416877,0
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,1,-1,0,unknown,1,0.28410168437021593,3.519866495042984,3.519866495042984,0
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,0,-1,0,unknown,1,0.34008085294952856,1.5153371507244942,1.5153371507244942,0
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,1,-1,0,unknown,1,0.347067410980259,2.8812846391298876,2.8812846391298876,0
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,0,-1,0,unknown,1,0.3229308529057436,1.4769540220399195,1.4769540220399195,0
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,0,-1,0,unknown,1,0.3132358791475139,1.4561040241279517,1.4561040241279517,0
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,0,-1,0,unknown,1,0.32979717356335275,1.4920856202842763,1.4920856202842763,0
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,0,-1,0,unknown,1,0.308313041582622,1.4457407181538613,1.4457407181538613,0
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,1,-1,0,unknown,1,0.298190402418141,3.353561992239235,3.353561992239235,0
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,0,-1,0,unknown,1,0.3248823759814589,1.4812233667485128,1.4812233667485128,0
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,0,-1,0,unknown,1,0.3092446591107293,1.4476905798695834,1.4476905798695834,0
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,0,-1,0,unknown,1,0.3491302011623517,1.536405594153921,1.536405594153921,0
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,1,-1,0,unknown,1,0.316217222911585,3.162383094736121,3.162383094736121,0
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,0,-1,0,unknown,1,0.34153059502068983,1.5186734454753006,1.5186734454753006,0
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,0,-1,0,unknown,1,0.2932598913164174,1.4149472878547409,1.4149472878547409,0
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,0,-1,0,unknown,1,0.26673505973869654,1.3637635526984884,1.3637635526984884,0
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,0,-1,0,unknown,1,0.36983961190205245,1.5868975881177843,1.5868975881177843,0
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,0,-1,0,unknown,1,0.2980320141352581,1.4245663906853498,1.4245663906853498,0
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,0,-1,0,unknown,1,0.2941234109129028,1.4166782344960462,1.4166782344960462,0
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,0,-1,0,unknown,1,0.2825822749293075,1.3938880585944018,1.3938880585944018,0
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,0,-1,0,unknown,1,0.2998537116685068,1.428272943334575,1.428272943334575,0
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,0,-1,0,unknown,1,0.2831618471185276,1.3950150337008467,1.3950150337008467,0
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,0,-1,0,unknown,1,0.2915101642652909,1.411452853043393,1.411452853043393,0
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,0,-1,0,unknown,1,0.30046208903227983,1.4295150903496128,1.4295150903496128,0
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,0,-1,0,unknown,1,0.2918492973491502,1.4121287972414045,1.4121287972414045,0
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,0,-1,0,unknown,1,0.27712010082938354,1.3833556599752357,1.3833556599752357,0
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,1,-1,0,unknown,1,0.28097294547016666,3.559061525751698,3.559061525751698,0
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,1,-1,0,unknown,1,0.3016345193287041,3.3152704213878685,3.3152704213878685,0
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,0,-1,0,unknown,1,0.29191624727338494,1.4122623152265594,1.4122623152265594,0
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,0,-1,0,unknown,1,0.29550319520996,1.4194528537258992,1.4194528537258992,0
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,0,-1,0,unknown,1,0.2980574966434017,1.4246181064946621,1.4246181064946621,0
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,0,-1,0,unknown,1,0.3736831215100202,1.5966358792867799,1.5966358792867799,0
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,0,-1,0,unknown,1,0.34070165028416743,1.5167639968020774,1.5167639968020774,0
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,0,-1,0,unknown,1,0.3287268371592747,1.4897065089987405,1.4897065089987405,0
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,0,-1,0,unknown,1,0.3573880252453997,1.556149028162568,1.556149028162568,0
60,services,single,primary,no,313,yes,no,unknown,15,may,920,0,-1,0,unknown,1,0.25229718345998164,1.3374297620376534,1.3374297620376534,0
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,0,-1,0,unknown,1,0.3318958071626465,1.4967725254845765,1.4967725254845765,0
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,0,-1,0,unknown,1,0.3139722556853927,1.457666994210379,1.457666994210379,0
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,0,-1,0,unknown,1,0.3258823131028918,1.4834205057026368,1.4834205057026368,0
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,1,-1,0,unknown,1,0.3037117170407834,3.2925960504372527,3.2925960504372527,0
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,0,-1,0,unknown,1,0.27189789494385846,1.3734337437781385,1.3734337437781385,0
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,0,-1,0,unknown,1,0.4061078964522623,1.6838075368005274,1.6838075368005274,0
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,0,-1,0,unknown,1,0.30114036088812524,1.4309024931970897,1.4309024931970897,0
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,1,-1,0,unknown,1,0.3323181767187336,3.0091643191891273,3.0091643191891273,0
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,0,-1,0,unknown,1,0.3215134757429053,1.4738686241336107,1.4738686241336107,0
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,0,-1,0,unknown,1,0.3006181686943128,1.429834112409074,1.429834112409074,0
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,0,-1,0,unknown,1,0.3078757340376641,1.444827250218703,1.444827250218703,0
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,0,-1,0,unknown,1,0.26268605237356746,1.356274356695962,1.356274356695962,0
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,0,-1,0,unknown,1,0.33436758424074475,1.5023306803040046,1.5023306803040046,0
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,0,-1,0,unknown,1,0.2832408107872402,1.3951687192156306,1.3951687192156306,0
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,0,-1,0,unknown,1,0.33114990390525434,1.495103321115985,1.495103321115985,0
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,1,-1,0,unknown,1,0.28069567914554827,3.562577105012981,3.562577105012981,0
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,1,-1,0,unknown,1,0.3255786549254353,3.0714544239057133,3.0714544239057133,0
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,1,-1,0,unknown,1,0.37573013173727404,2.6614847081235453,2.6614847081235453,0
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,1,-1,0,unknown,1,0.3053073311115557,3.2753881027331495,3.2753881027331495,0
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,0,-1,0,unknown,1,0.26981268594291713,1.3695116044180196,1.3695116044180196,0
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,0,-1,0,unknown,1,0.31267389196356943,1.4549134512827158,1.4549134512827158,0
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,0,-1,0,unknown,1,0.34270468797665693,1.521386174080131,1.521386174080131,0
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,1,-1,0,unknown,1,0.3399856329260001,2.9413007584872153,2.9413007584872153,0
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,1,-1,0,unknown,1,0.31367934533992675,3.187968907918767,3.187968907918767,0
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,0,-1,0,unknown,1,0.3732218070182084,1.5954607406531944,1.5954607406531944,0
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,1,-1,0,unknown,1,0.37623546340094755,2.6579099985965904,2.6579099985965904,0
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,1,-1,0,unknown,1,0.38291424957909015,2.6115507612976727,2.6115507612976727,0
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,0,-1,0,unknown,1,0.33233570311332883,1.497758686008845,1.497758686008845,0
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,0,-1,0,unknown,1,0.32397472358200624,1.4792346305431474,1.4792346305431474,0
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,0,-1,0,unknown,1,0.30663796256439957,1.4422479830284625,1.4422479830284625,0
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,0,-1,0,unknown,1,0.36776168213890775,1.5816820520829424,1.5816820520829424,0
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,0,-1,0,unknown,1,0.3413879978926075,1.5183446350814318,1.5183446350814318,0
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,0,-1,0,unknown,1,0.35453703337091147,1.5492755614198452,1.5492755614198452,0
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,1,-1,0,unknown,1,0.3417628182656343,2.9260058337380412,2.9260058337380412,0
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,0,-1,0,unknown,1,0.32035776583479425,1.4713623576208221,1.4713623576208221,0
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,1,-1,0,unknown,1,0.36655674485332596,2.728090572716484,2.728090572716484,0
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,0,-1,0,unknown,1,0.39642552667148356,1.6567963759059028,1.6567963759059028,0
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,0,-1,0,unknown,1,0.3405625143998325,1.516443972077019,1.516443972077019,0
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,0,-1,0,unknown,1,0.35698089135783706,1.5551637370647646,1.5551637370647646,0
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,0,-1,0,unknown,1,0.31475644276567216,1.4593351363069251,1.4593351363069251,0
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,0,-1,0,unknown,1,0.34546474476942984,1.5278015844199784,1.5278015844199784,0
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,0,-1,0,unknown,1,0.41265038457887526,1.7025634711329614,1.7025634711329614,0
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,0,-1,0,unknown,1,0.43339308062397197,1.7648919661998534,1.7648919661998534,0
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,0,-1,0,unknown,1,0.34469581398304056,1.5260088693743208,1.5260088693743208,0
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,0,-1,0,unknown,1,0.3396929193701071,1.5144468828746476,1.5144468828746476,0
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,0,-1,0,unknown,1,0.36774789294662474,1.5816475561631922,1.5816475561631922,0
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,0,-1,0,unknown,1,0.342916342258396,1.5218762302459314,1.5218762302459314,0
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,0,-1,0,unknown,1,0.4552650012347875,1.8357550042989113,1.8357550042989113,0
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,0,-1,0,unknown,1,0.33602940266915554,1.5060907877848666,1.5060907877848666,0
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,0,-1,0,unknown,1,0.36038373027129145,1.5634374035296932,1.5634374035296932,0
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,0,-1,0,unknown,1,0.35059325376497646,1.5398669721211906,1.5398669721211906,0
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,0,-1,0,unknown,1,0.3387647263698414,1.5123210147426573,1.5123210147426573,0
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,1,-1,0,unknown,1,0.34921875793483625,2.863534610550899,2.863534610550899,0
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,1,-1,0,unknown,1,0.3455901768377132,2.8936007647856066,2.8936007647856066,0
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,1,-1,0,unknown,1,0.3853940287200725,2.594747000416919,2.594747000416919,0
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,0,-1,0,unknown,1,0.37870319102949307,1.609536674841461,1.609536674841461,0
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,0,-1,0,unknown,1,0.30333914915917226,1.43541868154793,1.43541868154793,0
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,0,-1,0,unknown,1,0.3494317037178645,1.5371176334825951,1.5371176334825951,0
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,1,-1,0,unknown,1,0.3431916162428034,2.913824093221769,2.913824093221769,0
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,1,-1,0,unknown,1,0.35692499964390634,2.801709045311118,2.801709045311118,0
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,1,-1,0,unknown,1,0.3342279124094679,2.9919703378181177,2.9919703378181177,0
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,1,-1,0,unknown,1,0.37479458802588317,2.6681281746014442,2.6681281746014442,0
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,0,-1,0,unknown,1,0.3643612020164965,1.5732205195346693,1.5732205195346693,0
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,0,-1,0,unknown,1,0.44931488103273826,1.8159197798469113,1.8159197798469113,0
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,1,-1,0,unknown,1,0.40345285722718366,2.478604332790489,2.478604332790489,0
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,0,-1,0,unknown,1,0.3879113654470937,1.6337503158026117,1.6337503158026117,0
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,0,-1,0,unknown,1,0.32729604245783867,1.4865380064860485,1.4865380064860485,0
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,0,-1,0,unknown,1,0.36778916327427447,1.5817508051255278,1.5817508051255278,0
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,1,-1,0,unknown,1,0.3232673581504211,3.0934147070137685,3.0934147070137685,0
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,0,-1,0,unknown,1,0.3515299635017853,1.5420912975410128,1.5420912975410128,0
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,1,-1,0,unknown,1,0.43387963031292937,2.3047866968973967,2.3047866968973967,0
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,0,-1,0,unknown,1,0.3534532421626045,1.546678547031701,1.546678547031701,0
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,1,-1,0,unknown,1,0.32736224816967363,3.0547199794452005,3.0547199794452005,0
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,1,-1,0,unknown,1,0.4243954709541243,2.3562928175265485,2.3562928175265485,0
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,1,-1,0,unknown,1,0.34382136240077493,2.9084871080068355,2.9084871080068355,0
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,1,-1,0,unknown,1,0.3930923578573659,2.543931419706845,2.543931419706845,0
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,0,-1,0,unknown,1,0.3387578261160212,1.512305233234351,1.512305233234351,0
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,1,-1,0,unknown,1,0.2822019555705931,3.5435615532077667,3.5435615532077667,0
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,0,-1,0,unknown,1,0.42947948685961645,1.7527853547203442,1.7527853547203442,0
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,1,-1,0,unknown,1,0.3798329229681579,2.6327364994735643,2.6327364994735643,0
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,0,-1,0,unknown,1,0.36079889958579986,1.5644528761793484,1.5644528761793484,0
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,0,-1,0,unknown,1,0.3965407970013909,1.6571128504312576,1.6571128504312576,0
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,0,-1,0,unknown,1,0.4048573900627389,1.6802695409515684,1.6802695409515684,0
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,0,-1,0,unknown,1,0.41229636010622744,1.701537870653226,1.701537870653226,0
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,0,-1,0,unknown,1,0.3966184006028636,1.6573259791136181,1.6573259791136181,0
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,1,-1,0,unknown,1,0.39976189501184106,2.5014890425471386,2.5014890425471386,0
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,0,-1,0,unknown,1,0.34768906859176746,1.5330112556003987,1.5330112556003987,0
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,0,-1,0,unknown,1,0.3754183623568328,1.6010717250245434,1.6010717250245434,0
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,0,-1,0,unknown,1,0.4525914888567024,1.826789280114473,1.826789280114473,0
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,0,-1,0,unknown,1,0.35799446391933337,1.5576189671273364,1.5576189671273364,0
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,0,-1,0,unknown,1,0.380775739127396,1.6149238057804955,1.6149238057804955,0
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,0,-1,0,unknown,1,0.360343122233761,1.5633381501221777,1.5633381501221777,0
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,1,-1,0,unknown,1,0.4030157599620651,2.481292543234854,2.481292543234854,0
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,0,-1,0,unknown,1,0.4224525342037685,1.7314594197402589,1.7314594197402589,0
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,0,-1,0,unknown,1,0.3943699778051722,1.6511730980177621,1.6511730980177621,0
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,0,-1,0,unknown,1,0.3534847278594544,1.5467538712412823,1.5467538712412823,0
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,0,-1,0,unknown,1,0.3715811149705083,1.5912952710723676,1.5912952710723676,0
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,0,-1,0,unknown,1,0.3325389479447887,1.4982147601284779,1.4982147601284779,0
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,0,-1,0,unknown,1,0.41633533828431263,1.7133125672890515,1.7133125672890515,0
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,1,-1,0,unknown,1,0.3934040697808304,2.5419157472293326,2.5419157472293326,0
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,1,-1,0,unknown,1,0.404800830040001,2.4703506657858965,2.4703506657858965,0
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,0,-1,0,unknown,1,0.38339614630809066,1.6217868150069288,1.6217868150069288,0
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,0,-1,0,unknown,1,0.3386061743237275,1.5119584749336057,1.5119584749336057,0
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,0,-1,0,unknown,1,0.42885898210048695,1.7508810760566678,1.7508810760566678,0
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,1,-1,0,unknown,1,0.40181079014013293,2.488733564499964,2.488733564499964,0
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,1,-1,0,unknown,1,0.3386396040423376,2.952991877095915,2.952991877095915,0
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,0,-1,0,unknown,1,0.386436790158924,1.6298239267947932,1.6298239267947932,0
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,1,-1,0,unknown,1,0.4579494811855377,2.1836469765424873,2.1836469765424873,0
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,0,-1,0,unknown,1,0.3649570746794944,1.5746967017942934,1.5746967017942934,0
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,0,-1,0,unknown,1,0.4311141112062753,1.7578217700572905,1.7578217700572905,0
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,0,-1,0,unknown,1,0.3906985797838664,1.641223812748174,1.641223812748174,0
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,0,-1,0,unknown,1,0.3781960097002809,1.6082238383802983,1.6082238383802983,0
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,0,-1,0,unknown,1,0.4301297679032898,1.7547854646148535,1.7547854646148535,0
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,0,-1,0,unknown,1,0.3843686603666961,1.6243487548824955,1.6243487548824955,0
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,0,-1,0,unknown,1,0.4148371941573041,1.7089261142630128,1.7089261142630128,0
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,1,-1,0,unknown,1,0.44233105999088634,2.2607501268859655,2.2607501268859655,0
