Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Title,Pclass_over_1,Survived,e,wt,v,TE
male,66,0,0,10.5,S,Unknown,Royalty,1,0,0.8605521881194056,1.1620445730146065,0.0,0
male,28,1,0,82.1708,C,Unknown,Mr,1,0,0.9995747365496107,1.0004254443763327,0.0,0
male,42,1,0,52.0,S,Unknown,Mr,1,0,0.9871687366921242,1.012998044641154,0.0,0
male,33,0,0,7.2292,C,Unknown,Mr,0,1,0.108161355175386,1.1212790629819103,1.1212790629819103,0
male,21,0,0,8.05,S,Unknown,Mr,0,0,0.1439268138492335,1.1681244269504383,0.0,0
female,18,2,0,18.0,S,Unknown,Miss,0,0,0.16262219739536052,1.1942040938863305,0.0,0
female,14,1,0,11.2417,C,Unknown,Officer,0,1,0.3795052385220066,1.6116171514777022,1.6116171514777022,0
female,40,1,0,9.475,S,Unknown,Mr,0,0,0.2424246527046919,1.3200007148730424,0.0,0
female,27,1,0,21.0,S,Unknown,Mr,1,0,0.5362525975454624,1.8647928319176525,0.0,0
male,33,0,0,7.8958,C,Unknown,Mr,0,0,0.11806355059557164,1.1338685465095586,0.0,0
female,3,1,2,41.5792,C,Unknown,Miss,1,1,0.5657559689277902,1.7675465305212434,1.7675465305212434,0
female,19,0,0,7.8792,Q,Unknown,Miss,0,1,0.04431969402713561,1.0463750207576152,1.0463750207576152,0
male,33,0,0,8.05,S,Unknown,Mr,0,0,0.1989738390565327,1.2483986775440352,0.0,0
male,33,1,0,15.5,Q,Unknown,Mr,0,0,0.030462228174677735,1.031419331004843,0.0,0
female,38,0,0,7.75,Q,Unknown,Officer,0,1,0.3391897970950776,1.5132938256764181,1.5132938256764181,0
male,33,2,0,21.6792,C,Unknown,Mr,0,0,0.10849279148216162,1.1216959217441826,0.0,0
female,18,1,0,17.8,S,Unknown,Mr,0,0,0.3494181144022056,1.5370855262610623,0.0,0
male,7,4,1,39.6875,S,Unknown,Master,0,0,0.23021854031416547,1.2990699989164756,0.0,0
male,21,0,0,7.8,S,Unknown,Mr,0,0,0.13942293141792436,1.1620109767131532,0.0,0
female,49,1,0,76.7292,C,D,Mr,1,1,0.9999796847860316,1.0000203156266847,1.0000203156266847,0
female,29,1,0,26.0,S,Unknown,Mr,1,1,0.7213414576657455,1.386306012739086,1.386306012739086,0
male,65,0,1,61.9792,C,B,Mr,1,0,0.9998725504463009,1.0001274657991583,0.0,0
male,33,0,0,35.5,S,C,Mr,1,1,0.9900533004998002,1.0100466303129119,1.0100466303129119,0
female,21,0,0,10.5,S,Unknown,Miss,1,1,0.37402793132450246,2.6735971200300845,2.6735971200300845,0
male,28,0,0,7.2292,C,Unknown,Mr,0,0,0.09344328923829019,1.103074951769732,0.0,0
female,5,1,2,27.75,S,Unknown,Miss,1,1,0.2452688540529595,4.077158528184242,4.077158528184242,0
male,11,5,2,46.9,S,Unknown,Master,0,0,0.13413133126992174,1.1549095562802205,0.0,0
male,22,0,0,7.2292,C,Unknown,Mr,0,0,0.07817076902955974,1.0847996205840282,0.0,0
female,38,0,0,80.0,S,B,Miss,1,1,0.9999978447891462,1.0000021552154987,1.0000021552154987,0
male,45,1,0,83.475,S,C,Mr,1,0,0.9999837942026106,1.0000162060600215,0.0,0
male,4,3,2,27.9,S,Unknown,Master,0,0,0.05895754711514874,1.0626513149692758,0.0,0
male,33,0,0,27.7208,C,Unknown,Mr,1,0,0.7163433337735571,1.3959786499752778,0.0,0
male,4,1,1,15.2458,C,Unknown,Master,0,1,0.08988379948942543,1.0987607949831029,1.0987607949831029,0
female,29,0,0,10.5,S,F,Mr,1,1,0.7711494203786995,1.296765547082841,1.296765547082841,0
male,19,0,0,8.1583,S,Unknown,Mr,0,0,0.13799302591059548,1.1600834216641538,0.0,0
female,17,4,2,7.925,S,Unknown,Miss,0,1,0.001029953918167981,1.0010310158169484,1.0010310158169484,0
male,26,2,0,8.6625,S,Unknown,Mr,0,0,0.024912445297181948,1.025548931659552,0.0,0
male,32,0,0,10.5,S,Unknown,Mr,1,0,0.25687907296264095,3.8928823141051834,0.0,0
female,16,5,2,46.9,S,Unknown,Miss,0,0,0.09939985545103741,1.1103706856507543,0.0,0
male,21,0,0,73.5,S,Unknown,Mr,1,0,0.9996345760544111,1.0003655575290635,0.0,0
male,26,1,0,14.4542,C,Unknown,Mr,0,0,0.08821410431658773,1.0967487046402142,0.0,0
male,32,0,0,56.4958,S,Unknown,Mr,0,1,0.9968353105646045,315.9867722928802,315.9867722928802,0
male,25,0,0,7.65,S,F,Mr,0,0,0.44503065003976944,1.8019013123367273,0.0,0
male,33,0,0,7.8958,S,Unknown,Mr,0,0,0.19535752924992308,1.2427879913768576,0.0,0
male,33,0,0,8.05,S,Unknown,Mr,0,0,0.1989738390565327,1.2483986775440352,0.0,0
male,0,0,2,29.0,S,Unknown,Master,1,1,0.6151326322226763,1.6256656656088482,1.6256656656088482,0
female,30,0,0,12.475,S,Unknown,Miss,0,1,0.5175904188379579,2.0729273195428064,2.0729273195428064,0
male,22,0,0,9.0,S,Unknown,Mr,0,0,0.16662048954460343,1.199933508628685,0.0,0
male,29,0,0,9.5,S,Unknown,Mr,0,1,0.2128222077534027,1.2703610414948447,1.2703610414948447,0
female,21,0,0,7.7875,Q,Unknown,Miss,0,1,0.04655152773086145,1.0488243770741719,1.0488243770741719,0
male,28,0,0,47.1,S,Unknown,Mr,1,0,0.985660997942389,1.0145476001257474,0.0,0
female,17,0,0,10.5,S,Unknown,Miss,1,1,0.34409786116706914,2.906150002235765,2.906150002235765,0
female,33,3,0,15.85,S,Unknown,Mr,0,1,0.0717512961559875,1.077297491349953,1.077297491349953,0
male,16,1,3,34.375,S,Unknown,Mr,0,0,0.18580107512130734,1.228201081386824,0.0,0
male,33,0,0,8.05,S,Unknown,Mr,0,0,0.1989738390565327,1.2483986775440352,0.0,0
female,23,3,2,263.0,S,C,Miss,1,1,0.9999999999999984,1.0000000000000016,1.0000000000000016,0
male,24,0,0,8.05,S,Unknown,Mr,0,0,0.15637273732116547,1.1853576149550016,0.0,0
male,29,0,0,8.05,S,Unknown,Mr,0,0,0.17904509479636277,1.2180937024207812,0.0,0
male,20,0,0,7.8542,S,Unknown,Officer,0,0,0.49562150664360943,1.9826380648102027,0.0,0
male,46,1,0,61.175,S,E,Mr,1,0,0.9991268461433934,1.000873916920536,0.0,0
male,26,1,2,20.575,S,Unknown,Mr,0,0,0.08248410216448253,1.0898993710725537,0.0,0
male,59,0,0,7.25,S,Unknown,Mr,0,0,0.3394978926143296,1.5139997114590509,0.0,0
male,33,0,0,8.05,S,Unknown,Mr,0,0,0.1989738390565327,1.2483986775440352,0.0,0
male,71,0,0,34.6542,C,A,Mr,1,0,0.9936087071548381,1.0064324042242576,0.0,0
male,23,0,1,63.3583,C,D,Mr,1,1,0.9993737170136862,1.000626675462494,1.000626675462494,0
female,34,0,1,23.0,S,Unknown,Mr,1,1,0.721158967874403,1.386656818464691,1.386656818464691,0
male,34,1,0,26.0,S,Unknown,Mr,1,0,0.5573834831399314,1.7940969372946949,0.0,0
female,28,0,0,7.8958,S,Unknown,Miss,0,0,0.3377978423933991,1.5101128688772367,0.0,0
male,33,0,0,7.8958,S,Unknown,Mr,0,0,0.19535752924992308,1.2427879913768576,0.0,0
male,21,0,1,77.2875,S,D,Mr,1,0,0.999953178498296,1.0000468236940596,0.0,0
male,33,0,0,8.6542,S,Unknown,Mr,0,0,0.21362672413507683,1.2716607121473085,0.0,0
male,37,2,0,7.925,S,Unknown,Mr,0,0,0.031718418687637556,1.0327574326516136,0.0,0
male,28,0,0,7.8958,S,Unknown,Mr,0,0,0.1710499238889226,1.2063452659192497,0.0,0
female,21,0,0,7.65,S,Unknown,Miss,0,1,0.28145937170625673,1.3917097525502689,1.3917097525502689,0
male,33,0,0,7.775,S,Unknown,Mr,0,1,0.19255944431671967,1.2384812639907221,1.2384812639907221,0
male,38,0,0,7.8958,S,Unknown,Mr,0,0,0.2221935449207169,1.2856668821269532,0.0,0
female,21,1,0,24.15,Q,Unknown,Miss,0,1,0.15922728463227762,1.1893820787971665,1.1893820787971665,0
male,47,0,0,52.0,S,C,Mr,1,0,0.999447530875204,1.0005527745156488,0.0,0
female,14,1,0,14.4542,C,Unknown,Miss,0,0,0.13932737554080077,1.1618819648508592,0.0,0
male,22,0,0,8.05,S,Unknown,Mr,0,0,0.14798119666670378,1.1736830174261024,0.0,0
female,20,1,0,9.825,S,Unknown,Miss,0,0,0.15235363903288704,1.1797372655019256,0.0,0
female,17,0,0,14.4583,C,Unknown,Miss,0,0,0.3420999510354838,1.5199877269714797,0.0,0
male,21,0,0,7.925,S,Unknown,Mr,0,0,0.14165992804568592,1.1650393971740678,0.0,0
male,70,0,0,7.75,Q,Unknown,Mr,0,0,0.08815989450047834,1.0966835018209502,0.0,0
male,29,1,0,21.0,S,Unknown,Mr,1,0,0.33784933562197556,2.9598992644428765,0.0,0
male,24,0,1,247.5208,C,B,Mr,1,0,0.9999999999999993,1.0000000000000007,0.0,0
female,2,4,2,31.275,S,Unknown,Miss,0,0,0.01973238139862866,1.0201295860683253,0.0,0
male,21,2,0,73.5,S,Unknown,Mr,1,0,0.996910314953272,1.0030992607864357,0.0,0
male,33,0,0,8.05,S,Unknown,Mr,0,0,0.1989738390565327,1.2483986775440352,0.0,0
male,32,1,0,30.0708,C,Unknown,Mr,1,0,0.5432164392141343,1.8408868506385592,0.0,0
female,32,0,0,13.0,S,E,Miss,1,1,0.8058570787307616,1.2409148301768556,1.2409148301768556,0
male,54,0,1,77.2875,S,D,Mr,1,0,0.9999839939949052,1.000016006261291,0.0,0
male,12,1,0,11.2417,C,Unknown,Officer,0,1,0.19155814501457316,1.2369473374408926,1.2369473374408926,0
male,33,0,0,7.75,Q,Unknown,Mr,0,0,0.02819988849371115,1.029018198454414,0.0,0
male,24,0,0,7.1417,S,Unknown,Mr,0,1,0.13942872446833768,1.1620187989451523,1.1620187989451523,0
female,21,1,1,22.3583,C,E,Miss,0,1,0.5000389616248582,2.000155858644445,2.000155858644445,0
male,45,0,0,6.975,S,Unknown,Mr,0,0,0.23836530430340852,1.3129653962066414,0.0,0
male,33,0,0,7.8958,C,Unknown,Officer,0,0,0.4541732315898647,1.8320831037890728,0.0,0
male,20,0,0,7.05,S,Unknown,Mr,0,0,0.12306291740859758,1.1403326645110492,0.0,0
female,47,1,0,14.5,S,Unknown,Mr,0,0,0.4582896364250058,1.8460049266928236,0.0,0
female,29,1,0,26.0,S,Unknown,Mr,1,1,0.7213414576657455,1.386306012739086,1.386306012739086,0
male,25,0,0,13.0,S,Unknown,Mr,1,0,0.2850508715215692,3.5081457378541363,0.0,0
male,23,0,0,15.0458,C,Unknown,Mr,1,0,0.21809178837830756,4.585225365135594,0.0,0
female,19,0,2,26.2833,S,D,Miss,1,1,0.9216156248537927,1.0850510484331712,1.0850510484331712,0
male,37,1,0,53.1,S,C,Mr,1,0,0.9981104293798787,1.0018931478566908,0.0,0
male,16,0,0,9.2167,S,Unknown,Mr,0,0,0.14519083349649656,1.1698517507602106,0.0,0
male,24,0,0,79.2,C,B,Mr,1,0,0.9999828465444528,1.0000171537497933,0.0,0
female,33,0,2,15.2458,C,Unknown,Mr,0,0,0.16598966998412812,1.1990259161190115,0.0,0
female,22,0,0,7.75,S,Unknown,Miss,0,1,0.2911324284136009,1.410700728998035,1.410700728998035,0
female,24,1,0,15.85,S,Unknown,Mr,0,1,0.3284185263290931,1.489022611856662,1.489022611856662,0
male,19,0,0,6.75,Q,Unknown,Mr,0,0,0.01562124458243261,1.0158691403044413,0.0,0
male,18,0,0,11.5,S,Unknown,Officer,1,0,0.6124436925296023,1.632803165740278,0.0,0
male,19,1,1,36.75,S,Unknown,Mr,1,0,0.6335686376810198,1.57836095495539,0.0,0
male,27,0,0,7.7958,S,Unknown,Mr,0,1,0.16444113685577427,1.1968037730303989,1.1968037730303989,0
female,9,2,2,34.375,S,Unknown,Miss,0,0,0.25330219339796217,1.3392298613419698,0.0,0
male,36,0,2,26.0,S,F,Mr,1,0,0.7824783203906466,1.2779906790270654,0.0,0
male,42,0,0,13.0,S,Unknown,Officer,1,0,0.8116089434647671,1.232120478775147,0.0,0
male,51,0,0,12.525,S,Unknown,Officer,1,0,0.8432842285313339,1.18583979892711,0.0,0
female,22,1,0,66.6,S,C,Mr,1,1,0.9998275081422736,1.0001725216163004,1.0001725216163004,0
male,55,0,0,8.05,S,Unknown,Mr,0,0,0.33690573234310217,1.5080812016873382,0.0,0
male,40,0,2,14.5,S,Unknown,Mr,0,0,0.1436857223368886,1.1677955466642551,0.0,0
male,33,0,0,7.3125,S,Unknown,Mr,0,0,0.18212905967669693,1.2226867965313715,0.0,0
male,51,0,1,61.3792,C,Unknown,Mrs,1,0,0.9980231200422977,1.001980795753127,0.0,0
female,16,0,0,7.7333,Q,Unknown,Miss,0,1,0.03953642452084406,1.0411638978616342,1.0411638978616342,0
male,30,0,0,8.05,S,Unknown,Mr,0,0,0.18387626455350983,1.2253043951146865,0.0,0
male,33,0,0,8.6625,S,Unknown,Mr,0,0,0.21383338072165844,1.271994988693295,0.0,0
male,4,8,2,69.55,S,Unknown,Master,0,0,0.12531833602542514,1.1432730800094466,0.0,0
male,44,0,1,16.1,S,Unknown,Mr,0,0,0.3475034841606819,1.5325752333155096,0.0,0
female,40,0,0,15.75,S,Unknown,Mr,1,1,0.7024570931562814,1.4235744926523533,1.4235744926523533,0
male,26,0,0,7.775,S,Unknown,Mr,0,0,0.1596066871060962,1.1899190351199829,0.0,0
male,17,0,0,8.6625,S,Unknown,Mr,0,0,0.13914463794225584,1.1616353269957589,0.0,0
male,1,4,1,39.6875,S,Unknown,Master,0,0,0.1974604279913257,1.2460444754108542,0.0,0
male,9,0,2,20.525,S,Unknown,Master,0,1,0.3789570472012982,1.6101945855653712,1.6101945855653712,0
female,33,0,1,55.0,S,E,Mr,1,1,0.9989614843857639,1.0010395952501359,1.0010395952501359,0
female,45,1,4,27.9,S,Unknown,Mr,0,0,0.19810697527717197,1.2470491314544694,0.0,0
male,33,0,0,25.925,S,Unknown,Mr,1,0,0.7782777038873201,1.2848884080903609,0.0,0
male,28,0,0,56.4958,S,Unknown,Mr,0,0,0.9963971488978078,277.55795941485013,0.0,0
male,61,0,0,33.5,S,B,Mr,1,0,0.997530299616256,1.0024758149047643,0.0,0
male,4,4,1,29.125,Q,Unknown,Master,0,0,0.006879715593383331,1.0069273739560096,0.0,0
female,1,1,1,11.1333,S,Unknown,Miss,0,1,0.05077442189936401,1.0534903642198112,1.0534903642198112,0
male,21,0,0,7.925,S,Unknown,Mr,0,0,0.14165992804568592,1.1650393971740678,0.0,0
male,56,0,0,30.6958,C,A,Mr,1,0,0.9815127377316458,1.0188354787030882,0.0,0
male,18,1,1,7.8542,S,Unknown,Mr,0,0,0.022616458926060113,1.0231397992452476,0.0,0
male,4,3,1,25.4667,S,Unknown,Master,0,0,0.08763331799401262,1.0960505460385033,0.0,0
female,50,0,0,28.7125,C,C,Miss,1,0,0.9885425844789224,1.0115902093657574,0.0,0
male,30,0,0,13.0,S,Unknown,Mr,1,0,0.3193183956120625,3.131670501109784,0.0,0
male,36,0,0,0.0,S,Unknown,Mr,0,0,0.07671549777006126,1.0830897709046086,0.0,0
female,21,8,2,69.55,S,Unknown,Miss,0,0,0.1310542877897105,1.1508198797095792,0.0,0
male,33,0,0,15.05,C,Unknown,Mr,1,0,0.2786991388119863,3.588098636625539,0.0,0
male,9,4,2,31.3875,S,Unknown,Master,0,0,0.040715886766843554,1.042444033217245,0.0,0
male,1,2,1,39.0,S,F,Master,1,1,0.8932929133772268,1.1194536361195917,1.1194536361195917,0
female,4,0,2,22.025,S,Unknown,Miss,0,1,0.2817073500511561,1.3921902167190754,1.3921902167190754,0
male,33,0,0,50.0,S,A,Mr,1,0,0.9987449689872179,1.0012566080949121,0.0,0
female,33,1,0,15.5,Q,Unknown,Mr,0,1,0.07062563543765046,1.0759926657444534,1.0759926657444534,0
male,45,0,0,26.55,S,Unknown,Mr,1,1,0.8505077584920314,1.1757682278795687,1.1757682278795687,0
male,40,1,1,15.5,Q,Unknown,Mr,0,0,0.017628560911639772,1.0179449037402788,0.0,0
male,36,0,0,7.8958,S,Unknown,Mr,0,0,0.21115389740705864,1.2676743875807899,0.0,0
female,32,0,0,13.0,S,Unknown,Mr,1,1,0.5476952053483486,1.8258330367598774,1.8258330367598774,0
male,19,0,0,13.0,S,Unknown,Mr,1,0,0.24699401462802742,4.048681104706113,0.0,0
female,19,1,0,7.8542,S,Unknown,Miss,0,1,0.11498708730486912,1.12992701649369,1.12992701649369,0
male,3,1,1,26.0,S,F,Master,1,1,0.7912599126264248,1.2638072320392237,1.2638072320392237,0
female,44,0,0,27.7208,C,B,Mr,1,1,0.992459130528096,1.007598166251835,1.007598166251835,0
female,58,0,0,146.5208,C,B,Miss,1,1,0.9999999998930467,1.0000000001069533,1.0000000001069533,0
male,33,0,0,7.75,Q,Unknown,Mr,0,0,0.02819988849371115,1.029018198454414,0.0,0
male,42,0,1,8.4042,S,Unknown,Mr,0,0,0.1376076641164413,1.1595650359942684,0.0,0
female,21,0,0,7.75,Q,Unknown,Miss,0,1,0.046305546222137485,1.0485538591932748,1.0485538591932748,0
female,24,0,0,13.0,S,Unknown,Miss,1,0,0.4882546390136826,2.0481116206496024,0.0,0
male,28,0,0,9.5,S,Unknown,Mr,0,0,0.20742380488440962,1.2617083457246134,0.0,0
male,33,8,2,69.55,S,Unknown,Mr,0,0,0.08268448417982743,1.0901374529851915,0.0,0
male,34,0,0,6.4958,S,Unknown,Mr,0,0,0.16931855070979318,1.203830903957794,0.0,0
male,45,0,0,7.225,C,Unknown,Mr,0,0,0.15187725949736122,1.179074622391744,0.0,0
male,18,0,0,8.05,S,Unknown,Mr,0,1,0.13231611295221496,1.1524934540416654,1.1524934540416654,0
female,2,0,1,10.4625,S,G,Miss,0,0,0.20524458545688243,1.2582487413122838,0.0,0
male,32,1,0,15.85,S,Unknown,Mr,0,0,0.20778324580053212,1.262280802190931,0.0,0
male,26,0,0,18.7875,C,Unknown,Mr,0,1,0.3486758776084553,1.5353338923302586,1.5353338923302586,0
female,16,0,0,7.75,Q,Unknown,Miss,0,1,0.039630488541890475,1.0412658753417945,1.0412658753417945,0
male,40,0,0,31.0,C,A,Mr,1,1,0.9705920924715116,1.0302989358316368,1.0302989358316368,0
male,24,0,0,7.05,S,Unknown,Mr,0,0,0.13780649100668374,1.159832438506275,0.0,0
female,35,0,0,21.0,S,Unknown,Miss,1,1,0.81699224671021,1.224001823795402,1.224001823795402,0
male,22,0,0,7.25,S,Unknown,Mr,0,0,0.13365143075365832,1.1542698118263472,0.0,0
male,30,0,0,13.0,S,Unknown,Mr,1,0,0.3193183956120625,3.131670501109784,0.0,0
male,33,1,0,7.75,Q,Unknown,Mr,0,0,0.009867622231039597,1.009965962584997,0.0,0
female,31,1,0,113.275,C,D,Miss,1,1,0.9999998411260166,1.0000001588740086,1.0000001588740086,0
female,27,0,0,7.925,S,Unknown,Miss,0,1,0.3315186297276824,1.495928001093931,1.495928001093931,0
male,42,1,0,27.0,S,Unknown,Mr,1,0,0.6545118169385269,1.5278562955173078,0.0,0
female,32,0,0,76.2917,C,D,Miss,1,1,0.999987338684798,1.000012661475513,1.000012661475513,0
male,30,0,0,10.5,S,Unknown,Mr,1,0,0.24465815711082645,4.087335618844767,0.0,0
male,16,0,0,8.05,S,Unknown,Mr,0,1,0.125024220571377,1.142888778764848,1.142888778764848,0
male,27,0,0,13.0,S,Unknown,Mr,1,0,0.29849211633512357,3.3501722332836366,0.0,0
male,51,0,0,8.05,S,Unknown,Mr,0,0,0.30848231142811866,1.4460946068714378,0.0,0
male,33,0,0,7.8958,S,Unknown,Mr,0,0,0.19535752924992308,1.2427879913768576,0.0,0
male,38,1,0,90.0,S,C,Mr,1,1,0.9999922606334393,1.000007739426459,1.000007739426459,0
male,22,0,0,9.35,S,Unknown,Mr,0,0,0.17394616781882213,1.2105748572820259,0.0,0
male,19,0,0,10.5,S,Unknown,Mr,1,1,0.1846565854421783,5.415458092682706,5.415458092682706,0
male,20,0,0,7.25,S,Unknown,Mr,0,0,0.12629666080687177,1.1445532541096932,0.0,0
male,18,0,0,13.0,S,Unknown,Mr,1,0,0.24099418587088417,4.149477699581364,0.0,0
female,21,3,1,25.4667,S,Unknown,Miss,0,0,0.09182546786561253,1.1011099349480817,0.0,0
female,35,1,0,83.475,S,C,Mr,1,1,0.9999907239292172,1.000009276156829,1.000009276156829,0
male,29,0,0,7.775,S,Unknown,Mr,0,0,0.1731342908677826,1.2093862267543836,0.0,0
male,59,0,0,13.5,S,Unknown,Mr,1,0,0.5647527369894189,1.770686416378954,0.0,0
female,5,4,2,31.3875,S,Unknown,Miss,0,1,0.022067950888367122,1.0225659348299445,1.0225659348299445,0
male,24,0,0,10.5,S,Unknown,Mr,1,0,0.21040701175365767,4.752693323598881,0.0,0
female,21,0,0,7.55,S,Unknown,Miss,0,0,0.278472688892122,1.3859489233533486,0.0,0
male,44,1,0,26.0,S,Unknown,Mr,1,0,0.6354860479829525,1.5735986701423632,0.0,0
female,8,0,2,26.25,S,Unknown,Officer,1,1,0.8355231820850878,1.1968548825951812,1.1968548825951812,0
male,19,0,0,10.5,S,Unknown,Mr,1,0,0.1846565854421783,5.415458092682706,0.0,0
male,33,0,0,12.275,S,Unknown,Mr,1,0,0.31718473054924967,3.1527368870133197,0.0,0
female,21,1,0,14.4542,C,Unknown,Miss,0,0,0.16893486845811304,1.203275124952825,0.0,0
female,21,1,0,15.5,Q,Unknown,Miss,0,1,0.04994576176719174,1.0525714846134424,1.0525714846134424,0
male,29,0,0,10.5,S,Unknown,Officer,1,0,0.6608844213838266,1.5131238801273283,0.0,0
male,22,0,0,7.125,S,Unknown,Mr,0,0,0.13152152093079847,1.1514390098321812,0.0,0
male,30,0,0,7.225,C,Unknown,Mr,0,0,0.09904633755790805,1.1099349963120597,0.0,0
male,44,2,0,90.0,Q,C,Officer,1,0,0.9999755782287051,1.0000244223677324,0.0,0
female,25,0,0,7.775,S,Unknown,Miss,0,0,0.3124685420603094,1.4544789019497035,0.0,0
female,24,0,2,14.5,S,Unknown,Mr,1,1,0.19431121889026381,5.146383238760622,5.146383238760622,0
male,37,1,1,52.5542,S,D,Mr,1,1,0.9968471916250807,1.0031627800142362,1.0031627800142362,0
male,54,1,0,26.0,S,Unknown,Officer,1,0,0.9375073047888799,1.0666583555049665,0.0,0
male,33,0,0,7.25,S,Unknown,Mr,0,0,0.18075375666676977,1.2206342209533303,0.0,0
female,29,1,1,10.4625,S,G,Mr,0,0,0.17275831040155842,1.2088365620033228,0.0,0
male,62,0,0,26.55,S,C,Mr,1,0,0.9854824941907674,1.0147313685375545,0.0,0
male,30,1,0,16.1,S,Unknown,Mr,0,0,0.2032094788331655,1.2550350103758536,0.0,0
female,41,0,2,20.2125,S,Unknown,Mr,0,0,0.49427569249760056,1.977361944373725,0.0,0
female,29,0,2,15.2458,C,Unknown,Mr,0,1,0.1487510578107826,1.1747444847663822,1.1747444847663822,0
female,33,0,0,79.2,C,Unknown,Mr,1,1,0.999920272680813,1.0000797336761393,1.0000797336761393,0
female,30,0,0,86.5,S,B,Miss,1,1,0.999998932773135,1.000001067228004,1.000001067228004,0
female,35,0,0,512.3292,C,Unknown,Miss,1,1,1.0,,,0
female,50,0,1,26.0,S,Unknown,Mr,1,1,0.8715956880619711,1.1473209582111876,1.1473209582111876,0
male,33,0,0,7.75,Q,Unknown,Mr,0,0,0.02819988849371115,1.029018198454414,0.0,0
male,3,4,2,31.3875,S,Unknown,Master,0,1,0.03374047577569742,1.0349186475577394,1.0349186475577394,0
male,52,1,1,79.65,S,E,Mr,1,0,0.9998976648584051,1.0001023456151479,0.0,0
male,40,0,0,0.0,S,B,Mr,1,0,0.5877600710984542,1.7013745049593418,0.0,0
female,21,0,0,7.75,Q,Unknown,Miss,0,0,0.046305546222137485,1.0485538591932748,0.0,0
male,36,0,0,10.5,S,Unknown,Mr,1,0,0.28249012476505025,3.5399467532952156,0.0,0
male,16,4,1,39.6875,S,Unknown,Mr,0,0,0.08939491853577042,1.098170897961634,0.0,0
