X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,t,TE,y,e,wt,v
b,e,1.98,0.39,-0.7,0.83,0.71,-1.52,2.82,0.56,1,9.22,18.72,0.92,1.09,20.4
e,d,-0.02,-0.13,1.92,0.34,0.23,-1.8,-0.64,-1.67,0,7.77,5.61,0.32,1.47,8.25
a,d,0.21,0.53,-3.25,-0.13,-1.76,0.5,0.41,-1.12,1,4.37,8.780000000000001,0.37,2.7,23.71
a,d,0.01,0.3,0.23,2.05,0.35,-1.34,0.06,0.15,1,5.51,12.53,0.54,1.85,23.18
b,c,-0.07,-0.24,0.98,1.96,1.5,-0.69,-0.65,0.65,1,7.84,15.71,0.69,1.45,22.78
e,a,0.3,2.09,0.56,-0.83,-1.47,0.21,1.75,-0.79,1,8.1,14.87,0.75,1.33,19.78
a,d,0.02,0.18,-0.62,1.08,1.26,0.04,-1.86,-0.48,1,4.98,10.93,0.88,1.14,12.46
b,b,-0.06,0.09,-0.02,0.12,-0.72,-0.04,0.78,-0.66,0,2.87,6.6,0.29,1.41,9.31
a,a,0.61,0.56,1.0,-0.3,-1.88,0.46,1.69,1.58,0,7.41,6.17,0.76,4.17,25.73
e,c,0.96,1.73,-0.32,0.95,-0.6,-0.48,0.46,-0.32,1,7.16,12.98,0.69,1.45,18.82
d,e,-0.9,0.81,0.22,1.43,-1.32,-0.42,-0.52,-0.23,1,4.31,9.059999999999999,0.62,1.61,14.59
c,a,0.72,-1.16,1.07,-0.5,1.16,1.5,1.84,-1.01,1,7.59,17.83,0.71,1.41,25.14
d,d,-0.38,0.75,0.94,-0.43,0.81,0.06,-0.55,-0.6,1,6.2,12.08,0.72,1.39,16.79
b,c,1.23,-0.1,-0.37,1.89,0.19,-1.23,0.11,-0.22,0,4.3,5.72,0.67,3.03,17.33
e,d,-0.34,0.31,-2.27,0.23,-1.0,0.53,0.57,-2.69,0,4.54,5.14,0.6,2.5,12.85
a,a,0.49,0.64,0.23,-0.76,1.24,0.85,-0.95,0.13,1,5.92,12.4,0.91,1.1,13.64
e,c,1.4,1.15,1.09,-0.14,1.18,1.56,2.05,0.69,1,12.24,21.55,0.97,1.03,22.2
e,c,0.44,0.55,-0.09,0.03,0.02,-0.5,-0.01,-0.16,1,4.57,10.27,0.49,2.04,20.95
a,d,0.45,-0.12,0.39,0.46,0.28,2.37,0.98,-1.58,1,7.29,17.08,0.76,1.32,22.55
a,a,-1.27,0.94,1.1,-0.3,0.23,-0.05,-0.17,0.77,1,5.58,12.190000000000001,0.64,1.56,19.02
e,c,-0.99,-0.72,0.69,-0.72,0.03,0.34,-2.01,0.71,1,4.19,6.47,0.29,3.45,22.32
b,a,-0.0,1.89,2.5,-1.53,0.03,-0.44,-0.12,-1.09,1,9.81,16.23,0.91,1.1,17.85
e,d,-1.12,-1.96,-0.68,0.48,0.4,2.72,1.45,-1.04,0,5.2,7.42,0.38,1.61,11.95
a,b,-0.16,1.44,0.73,0.23,-1.1,-0.13,-2.29,1.41,0,7.2,3.08,0.55,2.22,6.84
c,e,0.7,0.63,-0.24,-1.25,-0.1,0.7,1.58,-0.44,1,4.55,12.45,0.55,1.82,22.66
e,d,-1.51,0.6,0.99,-0.04,0.64,1.85,-0.37,0.62,0,9.82,7.33,0.77,4.35,31.89
d,d,0.49,0.69,0.25,1.05,-0.1,-1.58,0.32,0.39,0,6.77,5.21,0.59,2.44,12.71
d,c,-0.09,-0.38,0.28,-1.47,1.33,-0.29,-0.29,-0.34,1,4.61,8.85,0.59,1.69,14.96
d,d,-1.4,0.33,0.2,0.99,0.16,0.25,1.93,-0.25,0,4.75,7.279999999999999,0.54,2.17,15.8
e,d,0.17,-0.56,-0.36,-0.04,-1.48,-0.24,0.53,1.12,0,5.93,3.87,0.4,1.67,6.46
c,e,0.59,1.97,0.73,-0.58,-0.16,1.01,1.8,1.25,1,10.06,18.22,0.9,1.11,20.22
e,a,0.63,1.57,0.49,0.46,1.0,0.15,-0.39,-1.33,0,8.19,8.43,0.84,6.25,52.69
d,d,-0.8,0.26,-0.17,1.81,-0.86,-2.16,-1.31,-0.66,1,3.64,6.84,0.39,2.56,17.51
a,d,-0.98,-0.49,0.22,-0.29,-0.45,0.21,-0.4,0.71,0,5.08,5.22,0.49,1.96,10.23
b,a,0.07,-0.23,0.49,-0.87,-0.47,-1.02,-0.37,-0.66,0,2.2,4.6,0.43,1.75,8.05
c,c,-0.11,-1.08,-1.16,1.64,2.24,1.56,0.14,-2.02,1,7.23,15.47,0.81,1.23,19.03
c,a,0.92,-0.04,-0.42,0.52,0.56,1.56,2.09,0.33,1,5.63,15.84,0.94,1.06,16.79
c,b,-0.63,0.19,-1.32,-0.37,-1.06,0.94,1.27,-0.25,0,2.29,6.46,0.33,1.49,9.63
e,a,0.49,0.39,0.79,-0.04,1.09,-0.53,1.05,1.22,1,7.96,15.92,0.93,1.08,17.19
e,e,-0.03,0.45,0.09,0.6,0.68,0.26,-0.22,0.83,0,6.27,7.32,0.77,4.35,31.84
b,d,0.46,2.38,-1.08,1.95,0.42,0.81,-0.61,-0.4,1,10.23,18.380000000000003,0.98,1.02,18.75
b,e,0.36,0.03,-1.38,0.08,0.09,-0.46,1.03,1.22,0,4.54,5.3100000000000005,0.64,2.78,14.76
b,c,-0.81,-0.3,-0.56,0.18,1.03,0.44,-0.16,-0.51,1,2.76,8.4,0.65,1.54,12.94
b,a,1.52,1.31,0.49,-1.21,0.99,0.15,-0.97,1.41,1,10.86,17.16,0.92,1.09,18.7
a,c,0.54,-1.34,-0.25,-0.14,-0.53,0.63,1.05,-0.37,0,2.9,4.56,0.58,2.38,10.85
e,b,2.03,0.27,1.82,0.48,1.04,1.46,-0.58,1.12,1,13.63,23.74,0.92,1.09,25.88
a,a,-0.82,-0.04,0.12,0.86,-1.73,0.19,-0.02,-1.62,1,3.04,7.05,0.35,2.86,20.16
d,b,-1.73,-0.27,-1.5,0.3,-1.08,-0.44,-0.61,0.24,0,1.47,3.1100000000000003,0.19,1.23,3.83
a,e,0.41,-2.1,-2.11,0.79,-1.03,0.44,0.35,0.18,0,4.75,3.76,0.21,1.27,4.78
d,c,0.05,0.43,-1.16,0.13,0.43,0.79,0.68,-0.18,0,2.77,5.57,0.56,2.27,12.64
d,e,0.2,0.21,-0.71,0.14,0.23,-0.38,0.13,1.17,0,4.76,6.26,0.47,1.89,11.83
e,d,-0.57,2.36,0.16,0.63,1.0,0.34,-0.62,-0.17,1,10.13,16.880000000000003,0.81,1.23,20.76
a,a,0.69,0.48,-2.72,1.7,-0.29,-0.63,0.59,-0.75,1,4.85,10.059999999999999,0.86,1.16,11.67
a,e,0.48,-0.89,-0.08,-0.01,0.96,0.66,-0.29,-2.1,0,4.17,6.02,0.76,4.17,25.1
b,e,-0.79,0.43,0.75,-1.04,0.14,-0.27,1.47,1.24,1,7.13,13.61,0.76,1.32,17.97
b,c,0.42,-1.96,-0.21,-0.42,0.06,-1.44,1.18,1.57,0,4.02,5.45,0.32,1.47,8.01
c,e,-0.22,-0.25,-0.4,-0.0,0.6,1.53,0.05,0.0,1,4.62,12.17,0.83,1.2,14.6
d,e,1.41,-1.17,1.0,1.01,0.66,-0.62,0.62,0.59,1,8.07,16.18,0.68,1.47,23.78
e,a,1.74,-0.17,0.67,-1.11,0.25,-0.03,-0.59,-0.32,1,7.42,13.9,0.75,1.33,18.49
d,c,1.92,0.5,0.12,-1.1,-0.5,0.31,0.23,1.46,1,8.06,12.9,0.56,1.79,23.09
e,d,0.03,-0.14,-0.02,0.1,-0.06,0.17,0.65,1.3,0,5.39,7.01,0.61,2.56,17.95
e,c,-0.41,-1.33,0.62,1.57,-0.08,0.68,-0.73,0.2,1,3.32,9.85,0.63,1.59,15.66
d,a,-0.44,-0.32,-0.61,-0.41,-0.37,0.18,0.14,0.97,1,2.9,9.219999999999999,0.6,1.67,15.4
c,b,-0.09,-0.95,-0.23,-1.09,1.0,1.09,-1.3,-1.3,1,3.59,9.46,0.5,2.0,18.92
d,c,1.18,-0.43,0.08,-2.14,1.25,1.81,0.32,-0.97,1,6.01,12.49,0.82,1.22,15.24
a,b,1.65,0.15,-0.24,2.02,-0.92,0.65,-1.2,0.78,1,7.48,13.55,0.85,1.18,15.99
e,b,-0.54,-1.22,2.01,0.1,-0.94,-1.53,-0.75,1.15,1,7.85,11.83,0.34,2.94,34.78
d,d,-0.09,-1.11,1.55,-1.03,-0.07,0.45,-0.12,0.19,0,4.88,6.62,0.51,2.04,13.5
b,c,-2.27,-2.91,0.39,-1.17,0.81,-0.96,-1.57,-0.15,0,3.19,1.2400000000000002,0.23,1.3,1.61
a,c,-0.43,-0.04,1.51,-0.78,-0.27,1.02,-0.44,-1.02,0,4.6,4.54,0.43,1.75,7.94
e,a,0.19,0.56,-2.42,-0.72,0.58,0.48,0.37,-0.16,1,3.44,10.18,0.72,1.39,14.15
c,e,-1.3,-0.19,1.66,0.87,-2.02,-1.0,-1.03,0.88,0,5.39,2.27,0.37,1.59,3.61
d,e,0.71,1.77,1.25,-1.16,0.06,-0.58,-1.59,0.72,0,9.7,5.71,0.65,2.86,16.33
d,a,0.92,-0.37,1.52,1.3,-0.25,-0.38,0.97,1.07,1,6.65,13.93,0.82,1.22,16.99
e,c,-0.54,-0.06,0.89,1.84,0.58,1.6,0.57,-0.78,1,5.44,13.89,0.71,1.41,19.58
c,e,1.08,2.24,-0.92,1.13,-1.13,-0.72,0.62,1.44,0,10.86,6.63,0.77,4.35,28.84
b,c,0.27,-0.5,1.11,0.69,0.37,-1.54,0.12,-0.81,1,3.98,9.629999999999999,0.57,1.75,16.85
b,b,-1.57,-0.3,1.93,0.82,0.04,0.06,-0.05,0.4,1,5.03,11.04,0.66,1.52,16.78
b,a,-0.27,-1.06,-0.62,0.63,0.48,-1.07,-0.12,0.59,1,2.55,7.68,0.49,2.04,15.67
e,e,-0.8,1.63,-0.89,-0.36,1.68,-0.41,-1.48,-0.81,1,7.65,12.91,0.91,1.1,14.2
c,c,-0.71,0.91,0.29,-0.15,-0.07,0.17,1.33,-0.39,1,3.27,9.85,0.56,1.79,17.63
d,b,-0.78,-0.28,-0.39,0.31,-0.38,-0.32,-0.71,-0.74,0,0.68,4.74,0.32,1.47,6.97
e,a,-0.48,0.27,0.64,0.26,-1.46,1.17,2.85,-0.29,1,5.04,13.91,0.75,1.33,18.5
a,d,-1.04,0.23,1.17,-0.47,0.71,0.03,1.31,0.54,1,7.69,14.84,0.59,1.69,25.08
c,e,0.37,-1.58,-0.4,0.35,2.26,0.82,0.49,-1.13,1,6.48,14.24,0.87,1.15,16.38
b,d,-0.2,-2.04,-1.54,-1.05,-0.85,-0.49,-1.13,0.09,0,2.33,2.42,0.33,1.49,3.61
b,b,-1.22,0.69,-0.82,-0.2,-0.29,-0.89,0.52,-0.79,0,3.58,4.28,0.47,1.89,8.09
c,e,0.37,-0.58,-0.01,-0.58,1.63,0.9,2.73,-1.37,0,5.65,8.84,0.75,4.0,35.36
a,d,1.77,0.41,0.62,0.01,0.07,-0.3,0.94,-0.01,1,8.51,14.84,0.86,1.16,17.21
a,e,0.8,0.33,1.91,0.37,1.21,-0.32,-0.68,0.32,0,10.28,7.24,0.91,11.11,80.44
c,d,-0.11,-0.12,-0.31,-0.44,1.81,-0.81,0.25,-2.09,0,5.7,6.57,0.59,2.44,16.03
b,b,0.84,0.51,1.01,-0.66,-1.56,-0.33,2.4,-0.12,0,6.7,7.65,0.48,1.92,14.69
e,e,0.36,-0.28,0.87,-0.99,0.1,0.26,1.28,1.71,0,7.63,6.42,0.73,3.7,23.75
a,c,-2.24,-0.24,-1.52,-0.73,0.67,1.16,1.24,-1.88,0,4.3,4.78,0.52,2.08,9.94
b,d,-1.34,-1.29,-0.78,-0.03,0.47,-0.05,-0.4,1.25,0,5.05,5.97,0.75,4.0,23.88
a,b,-0.98,-0.28,-1.19,-0.55,0.62,-1.84,-0.67,-0.61,1,3.62,5.91,0.45,2.22,13.12
a,c,-0.43,-0.01,-0.49,-0.65,-0.1,-0.17,-1.6,-1.78,1,1.04,3.33,0.32,3.12,10.39
c,e,-0.57,0.7,-0.2,-0.75,0.94,-2.63,0.75,0.67,1,5.34,10.73,0.66,1.52,16.31
d,c,1.01,-0.08,-0.22,-0.65,1.37,-0.91,0.48,0.74,1,5.62,11.92,0.58,1.72,20.5
c,c,0.23,-0.91,2.48,0.23,-0.14,-0.54,-0.8,0.93,1,7.88,12.98,0.44,2.27,29.46
a,c,1.54,1.38,-0.17,-1.66,-0.55,0.51,0.15,-0.37,0,6.47,4.93,0.56,2.27,11.19
a,e,-1.12,-0.43,0.94,-0.92,-0.44,0.68,-1.04,-1.75,0,5.13,4.24,0.31,1.45,6.15
b,a,0.53,0.7,0.21,-1.44,-0.13,1.58,-1.44,0.28,1,4.79,11.84,0.77,1.3,15.39
c,d,-0.56,0.21,-1.21,-1.68,0.55,0.13,0.23,-1.48,0,2.82,4.46,0.43,1.75,7.8
a,e,0.43,1.27,-0.54,0.34,-0.5,0.89,-0.83,-0.13,1,5.14,11.2,0.68,1.47,16.46
d,d,0.86,0.46,-0.95,-0.04,2.37,-0.1,2.27,-0.4,1,9.27,17.880000000000003,0.88,1.14,20.38
d,a,-0.59,0.33,1.18,-0.93,-0.27,1.83,-0.25,1.21,1,5.92,13.8,0.76,1.32,18.22
d,b,2.07,-1.99,0.09,-2.38,-1.82,-0.23,1.26,-0.62,0,5.73,3.9699999999999998,0.21,1.27,5.04
c,a,1.49,-0.08,0.29,-0.01,1.15,-0.08,1.27,-0.87,1,6.08,15.24,0.88,1.14,17.37
b,e,-0.86,-0.17,-1.14,-1.13,0.58,0.21,-1.03,1.19,0,4.8,4.46,0.86,7.14,31.84
c,d,-0.57,0.25,-1.18,-0.47,1.06,1.27,-1.08,-0.5,0,6.11,5.35,0.56,2.27,12.14
e,e,-0.46,-0.6,0.82,-0.38,1.32,-1.63,0.48,0.98,0,6.28,5.96,0.56,2.27,13.53
c,b,-0.81,-0.31,-1.14,-0.78,-1.02,1.07,-0.85,1.73,0,3.61,5.3100000000000005,0.27,1.37,7.27
c,a,1.17,-0.61,-0.18,-1.34,-1.75,0.82,0.48,0.24,1,4.02,10.39,0.42,2.38,24.73
d,d,1.43,0.04,-0.13,0.03,1.18,-1.31,-0.19,1.97,1,9.75,16.47,0.76,1.32,21.74
c,a,0.15,-0.52,1.78,0.03,1.12,-0.37,0.78,-0.41,0,6.2,7.54,0.56,2.27,17.12
a,a,0.52,0.94,-1.22,-0.67,0.47,0.66,-0.36,0.88,1,6.25,11.64,0.94,1.06,12.34
a,c,1.69,-0.38,-0.92,0.4,-0.07,0.21,1.13,-0.3,0,4.64,7.2,0.59,2.44,17.57
e,a,0.95,0.97,-0.58,-1.63,-1.74,1.41,3.13,0.46,1,7.93,16.23,0.86,1.16,18.83
e,b,0.55,0.8,-0.25,0.09,-0.66,0.55,0.77,0.69,0,5.07,6.13,0.81,5.26,32.24
c,b,-1.11,1.33,0.65,-0.0,0.13,-1.18,-0.07,-0.05,0,5.13,5.32,0.45,1.82,9.68
c,e,1.26,0.06,-0.13,0.05,0.05,-0.6,0.43,-0.75,1,3.49,9.870000000000001,0.64,1.56,15.4
b,d,-0.37,-1.58,0.3,0.08,-1.01,-0.44,1.16,-0.27,1,4.51,10.39,0.26,3.85,40.0
b,b,-1.66,1.64,1.32,-0.09,-0.5,-0.94,-0.12,-0.09,1,7.65,12.0,0.68,1.47,17.64
c,e,-1.48,0.13,0.2,0.89,0.01,-2.09,-0.39,-1.41,0,2.04,4.66,0.33,1.49,6.94
b,a,0.08,-0.41,0.48,0.67,0.1,-1.56,0.96,-1.54,0,2.13,6.42,0.47,1.89,12.13
c,b,-0.32,-1.42,-0.17,1.46,0.75,0.34,-0.32,0.47,0,4.29,5.88,0.77,4.35,25.58
c,a,-1.75,-1.28,0.76,-0.43,1.28,-1.33,1.39,0.3,0,4.57,5.97,0.59,2.44,14.57
a,d,0.69,0.33,3.01,-1.1,-0.77,-0.71,1.71,0.48,1,10.02,16.880000000000003,0.64,1.56,26.33
e,b,0.04,-1.68,0.89,0.96,1.85,-0.28,-0.79,0.11,1,6.41,12.64,0.5,2.0,25.28
a,e,-0.28,-1.17,1.12,1.97,0.78,-0.24,-0.73,0.33,1,6.49,13.44,0.72,1.39,18.68
a,d,-1.11,0.67,-0.24,-0.7,0.34,-0.03,-0.4,0.68,1,4.81,9.530000000000001,0.79,1.27,12.1
c,e,-0.62,-0.98,-1.67,2.82,-1.08,0.42,1.2,-1.83,0,3.94,7.13,0.18,1.22,8.7
d,c,-0.49,1.15,-0.29,1.16,-0.14,0.29,1.45,-1.24,1,4.98,12.309999999999999,0.51,1.96,24.13
e,c,-1.81,1.04,2.1,-0.2,0.14,-0.59,0.79,0.66,1,8.11,12.64,0.7,1.43,18.08
e,a,0.59,-1.2,-0.46,0.26,1.39,-0.95,-1.93,0.72,0,5.06,4.12,0.71,3.45,14.21
a,e,0.7,-0.27,-1.07,-2.84,-0.06,0.32,-0.68,-0.21,1,3.04,6.08,0.68,1.47,8.94
c,c,-1.17,-0.41,-0.33,-0.93,-0.49,-0.86,0.88,0.49,1,2.65,7.26,0.52,1.92,13.94
e,c,-1.02,-1.35,0.88,0.73,-0.36,-1.2,-1.47,-0.69,0,3.34,3.58,0.13,1.15,4.12
d,a,-0.1,-0.45,0.64,-0.51,-0.36,2.19,-0.56,0.29,1,4.26,10.3,0.71,1.41,14.52
a,e,-0.81,1.03,-0.91,0.01,0.05,1.36,-1.09,-0.17,0,5.85,5.16,0.67,3.03,15.63
d,e,-1.41,1.29,1.1,0.76,-1.15,1.25,0.36,1.59,0,9.6,6.76,0.45,1.82,12.3
d,d,0.22,1.1,-0.26,0.37,-0.18,-0.72,0.72,0.82,1,6.31,12.29,0.84,1.19,14.63
e,a,-2.98,-2.4,1.8,1.51,0.19,0.0,1.25,-0.07,0,5.58,7.279999999999999,0.3,1.43,10.41
d,b,1.64,1.04,0.77,-0.53,0.78,-1.15,0.71,-0.05,1,9.31,16.96,0.89,1.12,19.0
e,e,-1.19,-1.17,0.14,-0.37,0.5,0.28,-0.96,-0.15,0,3.94,3.88,0.4,1.67,6.48
d,c,0.66,0.24,-0.08,1.04,1.18,0.82,-1.14,-0.26,1,5.61,12.75,0.72,1.39,17.72
c,c,0.4,-1.76,0.48,-0.3,1.64,0.61,0.12,0.44,1,7.1,13.82,0.84,1.19,16.45
c,c,-0.63,0.77,1.86,2.0,0.14,-0.45,1.41,0.0,1,5.87,12.75,0.7,1.43,18.23
a,c,0.11,-0.74,1.23,-2.17,-2.02,-0.65,-0.14,-0.93,1,4.68,6.36,0.31,3.23,20.54
b,c,-0.82,0.43,1.71,-1.56,0.59,0.36,1.35,-0.98,0,6.05,7.6899999999999995,0.51,2.04,15.69
d,a,-1.07,-0.7,-0.84,-0.3,0.68,-0.5,-0.46,1.21,0,4.45,3.88,0.68,3.13,12.14
